,epi_len,epi_rew,total_step,ave_loss
294,88.0,-11.918339871870186,25960.0,0.0028089538311839783
295,88.0,-5.993328463755224,26048.0,0.0027110520326955752
296,88.0,-11.005531794720348,26136.0,0.003410782934886149
297,88.0,-5.570146316780036,26224.0,0.0020947248373307625
298,88.0,-4.9883342398064485,26312.0,0.0016590485783209178
299,88.0,-9.604368745925667,26400.0,0.0013982794718520547
300,88.0,-10.538733476227483,26488.0,0.0021114464457654817
301,88.0,-12.745912966037807,26576.0,0.0017764044777405534
302,88.0,-10.23736695825163,26664.0,0.001671672915108502
303,88.0,-6.813583138739545,26752.0,0.0019091603092171929
304,88.0,-6.434464899106698,26840.0,0.0012068176769058812
305,88.0,-9.630095643751627,26928.0,0.0010737217671703547
306,88.0,-7.794317092651288,27016.0,0.0011804694540015507
307,88.0,-9.462540124780702,27104.0,0.002168661750726063
308,88.0,-14.222165389521756,27192.0,0.002214940958021378
309,88.0,-8.720509623057598,27280.0,0.0019156466111202133
310,88.0,-6.974498147548019,27368.0,0.0015083758467385037
311,88.0,-9.598207620501974,27456.0,0.0015158489854498343
312,88.0,-3.7882896979847334,27544.0,0.001906849044396288
313,88.0,-1.363505355963879,27632.0,0.003854773679367182
314,88.0,-4.399260425955555,27720.0,0.0048970041098073125
315,88.0,-14.632589471572846,27808.0,0.004816478853833608
316,88.0,-9.707463950500266,27896.0,0.0025836572961204433
317,88.0,-3.123963164537942,27984.0,0.0012103058940159497
318,88.0,-11.927689567133896,28072.0,0.001204413015247238
319,88.0,-12.206980168547325,28160.0,0.001989390478808094
320,88.0,-11.399739699093,28248.0,0.002238442592153495
321,88.0,-7.263883362249012,28336.0,0.0015110796825452285
322,88.0,-9.649706983236896,28424.0,0.0014399414966729555
323,88.0,-6.546757885518204,28512.0,0.0016701549413317646
324,88.0,-16.774482905335873,28600.0,0.001384284222943031
325,88.0,-14.849720934809323,28688.0,0.0013037114033729515
326,88.0,-6.778412696034064,28776.0,0.0019138501666020602
327,88.0,-7.877826727032147,28864.0,0.001363622268069197
328,88.0,-5.781566155446273,28952.0,0.00152263656755994
329,88.0,-6.560233485973968,29040.0,0.0015836679641242054
330,88.0,-16.210012374680545,29128.0,0.0015245663790582594
